t=2020-02-19T10:38:09+0000 lvl=info msg="no configuration paths supplied"
t=2020-02-19T10:38:09+0000 lvl=info msg="using configuration at default config path" path=/home/ec2-user/.ngrok2/ngrok.yml
t=2020-02-19T10:38:09+0000 lvl=info msg="open config file" path=/home/ec2-user/.ngrok2/ngrok.yml err=nil
t=2020-02-19T10:38:09+0000 lvl=info msg="starting web service" obj=web addr=127.0.0.1:4040
t=2020-02-19T10:38:09+0000 lvl=info msg="tunnel session started" obj=tunnels.session
t=2020-02-19T10:38:09+0000 lvl=info msg="client session established" obj=csess id=eeca2ee107c9
t=2020-02-19T10:38:09+0000 lvl=info msg="started tunnel" obj=tunnels name="command_line (http)" addr=http://localhost:3000 url=http://kroco.ngrok.io
t=2020-02-19T10:38:09+0000 lvl=info msg="started tunnel" obj=tunnels name=command_line addr=http://localhost:3000 url=https://kroco.ngrok.io
t=2020-02-19T10:38:10+0000 lvl=info msg="update available" obj=updater
t=2020-02-19T10:38:10+0000 lvl=warn msg="failed to open private leg" id=01214ffa9c3f privaddr=localhost:3000 err="dial tcp 127.0.0.1:3000: connect: connection refused"
t=2020-02-19T10:38:13+0000 lvl=warn msg="failed to open private leg" id=da23b0fdb94b privaddr=localhost:3000 err="dial tcp 127.0.0.1:3000: connect: connection refused"
t=2020-02-19T10:38:14+0000 lvl=warn msg="failed to open private leg" id=7a1e7839e708 privaddr=localhost:3000 err="dial tcp 127.0.0.1:3000: connect: connection refused"
t=2020-02-19T10:38:16+0000 lvl=warn msg="failed to open private leg" id=3da27a29c786 privaddr=localhost:3000 err="dial tcp 127.0.0.1:3000: connect: connection refused"
t=2020-02-19T10:38:20+0000 lvl=warn msg="failed to open private leg" id=0771053a72e8 privaddr=localhost:3000 err="dial tcp 127.0.0.1:3000: connect: connection refused"
t=2020-02-19T10:54:41+0000 lvl=info msg="join connections" obj=join id=e83f6064627e l=127.0.0.1:3000 r=222.117.88.21:49480
t=2020-02-19T10:54:41+0000 lvl=info msg="join connections" obj=join id=5b16dbbad7c1 l=127.0.0.1:3000 r=222.117.88.21:49480
t=2020-02-19T10:54:46+0000 lvl=info msg="join connections" obj=join id=6b460b09e427 l=127.0.0.1:3000 r=222.117.88.21:49488
t=2020-02-19T10:54:56+0000 lvl=info msg="join connections" obj=join id=33fdd7f5bfe7 l=127.0.0.1:3000 r=222.117.88.21:49499
t=2020-02-19T10:55:30+0000 lvl=info msg="join connections" obj=join id=3e85b859c01c l=127.0.0.1:3000 r=222.117.88.21:49538
t=2020-02-19T10:55:30+0000 lvl=info msg="join connections" obj=join id=e06f13fefde7 l=127.0.0.1:3000 r=222.117.88.21:49538
t=2020-02-19T10:55:30+0000 lvl=info msg="join connections" obj=join id=400fc3762ee3 l=127.0.0.1:3000 r=222.117.88.21:49538
t=2020-02-19T10:55:30+0000 lvl=info msg="join connections" obj=join id=b35755d12bab l=127.0.0.1:3000 r=222.117.88.21:49540
t=2020-02-19T10:55:30+0000 lvl=info msg="join connections" obj=join id=cb0393225fa0 l=127.0.0.1:3000 r=222.117.88.21:49538
t=2020-02-19T10:55:31+0000 lvl=info msg="join connections" obj=join id=fb34b75dd356 l=127.0.0.1:3000 r=222.117.88.21:49541
t=2020-02-19T10:55:31+0000 lvl=info msg="join connections" obj=join id=41a93e238539 l=127.0.0.1:3000 r=222.117.88.21:49540
t=2020-02-19T10:55:31+0000 lvl=info msg="join connections" obj=join id=44e06bc50cdb l=127.0.0.1:3000 r=222.117.88.21:49538
t=2020-02-19T10:55:31+0000 lvl=info msg="join connections" obj=join id=f9b6db4cb765 l=127.0.0.1:3000 r=222.117.88.21:49541
t=2020-02-19T10:55:31+0000 lvl=info msg="join connections" obj=join id=b480bc625513 l=127.0.0.1:3000 r=222.117.88.21:49540
t=2020-02-19T10:55:31+0000 lvl=info msg="join connections" obj=join id=2910bb219cb3 l=127.0.0.1:3000 r=222.117.88.21:49538
t=2020-02-19T10:55:36+0000 lvl=info msg="join connections" obj=join id=15890158d921 l=127.0.0.1:3000 r=222.117.88.21:49550
t=2020-02-19T10:55:59+0000 lvl=info msg="join connections" obj=join id=292b62b361b2 l=127.0.0.1:3000 r=222.117.88.21:49579
t=2020-02-19T10:55:59+0000 lvl=info msg="join connections" obj=join id=5824a5d7f917 l=127.0.0.1:3000 r=222.117.88.21:49579
t=2020-02-19T10:55:59+0000 lvl=info msg="join connections" obj=join id=172b4e6ebfcb l=127.0.0.1:3000 r=222.117.88.21:49579
t=2020-02-19T10:56:00+0000 lvl=info msg="join connections" obj=join id=dee0ce6bef85 l=127.0.0.1:3000 r=222.117.88.21:49580
t=2020-02-19T10:56:00+0000 lvl=info msg="join connections" obj=join id=8db924c1f93d l=127.0.0.1:3000 r=222.117.88.21:49579
t=2020-02-19T10:56:00+0000 lvl=info msg="join connections" obj=join id=d856392e6c43 l=127.0.0.1:3000 r=222.117.88.21:49581
